SCORE;POPULATION_SIZE;CHILDREN_SIZE;PARENTS_SIZE;ARITHMETIC_XOVER_N_PARENTS;MUTATION_PROBABILITY;N_SURVIVORS;TOURNAMENT_SIZE;ARITHMETIC_RECOMB_ALPHA;MUTATION_A;MUTATION_B;MUTATION_EPSILON
9.999954616096478;300;10;0.7;2;0.55333;100;3;0.11;2.38888888889;2.16666666667;1.47368421053e-11
9.999820039237795;300;10;0.7;2;0.55333;100;3;0.11;2.38888888889;2.27777777778;1.47368421053e-11;HALTED_BAD_RESULT
9.99987889908623;300;10;0.7;2;0.55333;100;3;0.11;2.38888888889;2.38888888889;1.47368421053e-11;HALTED_BAD_RESULT
9.999890338011092;300;10;0.7;2;0.55333;100;3;0.11;2.38888888889;2.5;1.47368421053e-11;HALTED_BAD_RESULT
9.999889366935404;300;10;0.7;2;0.55333;100;3;0.11;2.5;1.5;1.47368421053e-11;HALTED_BAD_RESULT
9.999851678512464;300;10;0.7;2;0.55333;100;3;0.11;2.5;1.61111111111;1.47368421053e-11;HALTED_BAD_RESULT
9.999898481483621;300;10;0.7;2;0.55333;100;3;0.11;2.5;1.72222222222;1.47368421053e-11;HALTED_BAD_RESULT
9.999917908400572;300;10;0.7;2;0.55333;100;3;0.11;2.5;1.83333333333;1.47368421053e-11;HALTED_BAD_RESULT
9.999844676144013;300;10;0.7;2;0.55333;100;3;0.11;2.5;1.94444444444;1.47368421053e-11;HALTED_BAD_RESULT
9.999927822220068;300;10;0.7;2;0.55333;100;3;0.11;2.5;2.05555555556;1.47368421053e-11;HALTED_BAD_RESULT
9.999894619821736;300;10;0.7;2;0.55333;100;3;0.11;2.5;2.16666666667;1.47368421053e-11;HALTED_BAD_RESULT
9.999906326157676;300;10;0.7;2;0.55333;100;3;0.11;2.5;2.27777777778;1.47368421053e-11;HALTED_BAD_RESULT
9.999921336565116;300;10;0.7;2;0.55333;100;3;0.11;2.5;2.38888888889;1.47368421053e-11;HALTED_BAD_RESULT
9.999918755388865;300;10;0.7;2;0.55333;100;3;0.11;2.5;2.5;1.47368421053e-11;HALTED_BAD_RESULT
9.99989674688179;300;10;0.7;2;0.55333;100;3;0.11;1.5;1.5;1.94736842105e-11;HALTED_BAD_RESULT
9.99980741271238;300;10;0.7;2;0.55333;100;3;0.11;1.5;1.61111111111;1.94736842105e-11;HALTED_BAD_RESULT
9.999897420632275;300;10;0.7;2;0.55333;100;3;0.11;1.5;1.72222222222;1.94736842105e-11;HALTED_BAD_RESULT
9.999926033039568;300;10;0.7;2;0.55333;100;3;0.11;1.5;1.83333333333;1.94736842105e-11;HALTED_BAD_RESULT
9.999852713518095;300;10;0.7;2;0.55333;100;3;0.11;1.5;1.94444444444;1.94736842105e-11;HALTED_BAD_RESULT
